index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1452117593469321224,2021-10-24,RT @TyrenePamstein: Always great to catch up with the heart of #Yang2020. ❤️ Let’s move this movement #Forward. #ForwardParty Let’s go! 🙂👊…,Always great catch with heart #Yang move this movement #Forward #ForwardParty,0.8,0.75,13,0,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
2,1452110394294554627,2021-10-24,RT @AndrewYang: You can generally tell how the story is going to go based on the picture they use.,generally tell story going based picture they,0.05000000000000002,0.5,30,0,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
3,1452108900266758144,2021-10-24,Fixing democracy is fun. @Fwd_Party,Fixing democracy,0.0,0.0,50,687,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
4,1452108585870135304,2021-10-24,"RT @danileis: The #ForwardParty: for democracy's sake

Merch avail: https://t.co/nQYh8OF01j https://t.co/9EDlTbhU8i",#ForwardParty democracy sake Merch avail nQYh EDlTbhU,0.0,0.0,14,0,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
5,1452101296949923841,2021-10-24,@TyrenePamstein @danileis @mang_spider @BillHotter Yay!!  It’s true!!  🙏❤️,true,0.35,0.65,3,44,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
7,1452093120615571460,2021-10-24,Thank you @calrcv!  😀👍 #RankedChoiceVoting https://t.co/rsWaNceNUf,Thank #RankedChoiceVoting rsWaNceNUf,0.3612,0.0,15,113,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
8,1452092870651899909,2021-10-24,San Francisco - you all are amazing!  Let’s move the country @forward! https://t.co/yHtKXTPMNx,Francisco amazing move country yHtKXTPMNx,0.6000000000000001,0.9,10,169,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
9,1452092196815925254,2021-10-24,RT @AndrewYang: Love yourself and love your fellow Americans. ❤️🇺🇸 @Fwd_Party,Love yourself love your fellow Americans,0.5,0.6,90,0,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
10,1452091050714025988,2021-10-24,Thank you San Francisco - so great to see everyone!!  Irvine coming your way tomorrow! https://t.co/Tm2wxMZzQj,Thank Francisco great everyone Irvine coming your tomorrow wxMZzQj,0.8,0.75,14,207,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
11,1452043112256204805,2021-10-23,RT @Zach_Graumann: I’m opening for @AndrewYang tonight in SF - please send me dad jokes 🙏,opening tonight please send jokes,0.5106,0.0,23,0,en,2228878592,Andrew Yang🧢⬆️🇺🇸,AndrewYang,1867403,8657,"New York, USA",True
