index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1451693881649733633,2021-10-22,I am so sorry April. https://t.co/0AaSaYHeXl,sorry April AaSaYHeXl,-0.5,1.0,3,47,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
1,1451349405232242698,2021-10-22,"RT @georgepbush: Mayor Salinas is a businessman, developer, and rancher, and he served as the mayor of Mission, Texas from 1998 to 2018. I’…",Mayor Salinas businessman developer rancher served mayor Mission Texas from,0.0,0.0,7,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
2,1451349004369924096,2021-10-22,RT @AGHamilton29: I miss this. It’s what intelligent commentary and leadership look like and we are desperately missing it in our political…,miss this what intelligent commentary leadership look like desperately missing political,0.20000000000000004,0.35000000000000003,680,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
3,1451348961026060295,2021-10-22,RT @georgepbush: Don't mess with United States Veterans.,mess with United States Veterans,-0.175,0.175,64,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
4,1451348911000637448,2021-10-22,"RT @ChrisSprowls: Good for In-N-Out for taking a strong stance against big government. Florida is in the business of business, we’d welcome…",Good taking strong stance against government Florida business business welcome,0.6444444444444445,0.7444444444444445,16,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
5,1450976331898949637,2021-10-21,RT @BretBaier: 🙏’s up Neil for speedy recovery!   @TeamCavuto,Neil speedy recovery,0.0,0.0,17,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
6,1450976020010577921,2021-10-21,"RT @rpondiscio: Explain it to me like I'm four: if universal vaccination does not mean the end mask mandates for schools, what DOES?",Explain like four universal vaccination does mean mask mandates schools what DOES,-0.15625,0.34375,106,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
7,1450861993653673987,2021-10-20,Very cool idea to reward Ed innovators during these times of crises. https://t.co/VJvva5rySo,Very cool idea reward innovators during these times crises VJvva rySo,0.45499999999999996,0.8450000000000001,4,23,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
8,1450634053640605701,2021-10-20,RT @georgepbush: I'm grateful to receive the support of Republican Senator @DrSchwertner in my campaign for Attorney General. Thank you for…,grateful receive support Republican Senator campaign Attorney General Thank,0.05000000000000002,0.5,7,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
9,1450633434402000904,2021-10-20,RT @georgepbush: I am grateful to have the support of the @TexasYRs. I have dedicated my career to bringing new voices into the GOP and ush…,grateful have support have dedicated career bringing voices into,0.8271,0.0,15,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
10,1450633029911814144,2021-10-20,"RT @rpondiscio: .@bariweiss y'all.

""Do not speak untruths, either about yourself or anyone else, no matter the comfort offered by the mob.…",speak untruths either about yourself anyone else matter comfort offered,0.3818,0.0,35,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
11,1450120383185752067,2021-10-18,"Columba and I are saddened by Secretary Powell's passing. Our prayers are with Alma and the entire Powell family. We rest our hearts in confidence that the world is a better place, and our country stronger thanks to our friend, Colin Powell. God bless.
https://t.co/oTJ317zP3b",Columba saddened Secretary Powell passing prayers with Alma entire Powell family rest hearts confidence that world better place country stronger thanks friend Colin Powell bless,0.2333333333333333,0.44166666666666665,16,113,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
12,1449521064476913670,2021-10-16,"RT @JebBush: Ian, check where Florida is in terms of infections per 100k in the last week….in the bottom five states. We are very happy dow…",check where Florida terms infections last week bottom five states very happy,0.5,0.5333333333333333,105,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
14,1449519903371927554,2021-10-16,"Ian, check where Florida is in terms of infections per 100k in the last week….in the bottom five states. We are very happy down here. https://t.co/fBIZDqGsec",check where Florida terms infections last week bottom five states very happy down here fBIZDqGsec,0.2814814814814815,0.4518518518518519,105,736,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
15,1449517736476938245,2021-10-16,"RT @kymyona_burk: Aligning materials will be the next task for these states, Burk said. “We are teaching teachers how to teach reading, and…",Aligning materials will next task these states Burk said teaching teachers teach reading,0.0,0.0,27,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
16,1449176016413417476,2021-10-16,Dave Chappelle May Help Tame Wokeness - WSJ  https://t.co/22ugg1IcYZ,Dave Chappelle Help Tame Wokeness IcYZ,-0.21666666666666667,0.21666666666666667,10,89,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
17,1449169266268332033,2021-10-16,"RT @bariweiss: I'm very interested in the question of where courage comes from.
That's why I'm following people like @MaudMaron, @DorianAbb…",very interested question where courage comes from That following people like,0.1625,0.375,219,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
18,1449159429035905027,2021-10-15,Opinion | What the Supply Chain Crisis Reveals About American Infrastructure https://t.co/WcjP96I34V via @politico,Opinion What Supply Chain Crisis Reveals About American Infrastructure WcjP,-0.6249,0.0,10,37,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
19,1449153672932364289,2021-10-15,"RT @noonanjo: Lieutenant Caine, Royal Fusiliers. Korea vet. One of the greats.",Lieutenant Caine Royal Fusiliers Korea greats,0.0,0.0,16,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
20,1449113653047971845,2021-10-15,RT @LastingerCenter: We’re excited to announce that  @NewWorldsFL has launched! Eligible students in K-5 can enroll and receive 9 FREE book…,excited announce that launched Eligible students enroll receive FREE book,0.3875,0.775,12,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
21,1448436483510214658,2021-10-13,RT @sullydish: The purity of the racism.,purity racism,-0.6249,0.0,170,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
22,1448436065640099845,2021-10-13,RT @brithume: It is one of the temptations of journalism to protect those you favor. Couric was urged not to do this by the former presiden…,temptations journalism protect those favor Couric urged this former presiden,0.6486,0.0,1310,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
24,1448226215916101632,2021-10-13,Western Media Aren’t Telling You the Truth About Iran by @HosseinRonaghi https://t.co/wvUJZli8Ks,Western Media Aren Telling Truth About Iran wvUJZli,0.3182,0.0,396,1589,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
25,1447734573396373506,2021-10-12,"Dont forget broccoli, if that is how it is spelled. Well said JohnMorganESQ. https://t.co/uSRFHSIVCh",Dont forget broccoli that spelled Well said JohnMorganESQ uSRFHSIVCh,0.4149,0.0,6,51,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
26,1447734285084106753,2021-10-12,RT @JohnMorganESQ: I'm tired of people posting photos of their food on social media. Who gives a shit what you're eating at a restaurant?!…,tired people posting photos their food social media gives shit what eating restaurant,-0.18888888888888888,0.5222222222222223,38,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
27,1447728266626932738,2021-10-12,I agree. I am probably more conservative and more willing to listen to other views. https://t.co/fE6dSZiyEd,agree probably more conservative more willing listen other views dSZiyEd,0.28125,0.53125,16,221,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
28,1447696021442736133,2021-10-11,Why Jewish Artists and Entertainers Should Never Be the Last to Know https://t.co/iy6wJDLLfv via @jewishjournal,Jewish Artists Entertainers Should Never Last Know wJDLLfv,0.25,0.03333333333333333,8,14,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
29,1447256775300947979,2021-10-10,RT @JustinSayfie: “the average price of a gallon of regular gasoline in the United States stood at $3.25 on Friday — up from $1.72 in April…,average price gallon regular gasoline United States stood Friday from April,-0.075,0.23846153846153845,7,0,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
31,1446979698551136256,2021-10-09,@kristymcampbell Great win!,Great,0.8,0.75,1,6,en,113047940,Jeb Bush,JebBush,1342400,133,"Miami, FL",True
