index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1447594354651107332,2021-10-11,"No one knows who will be driving what 40 years from now. But Tennessee’s cluster of auto manufacturers and suppliers is well positioned to figure out the future and to continue to raise family incomes. 

Read my op-ed in the @Tennessean: https://t.co/AFw7m0rqy0",knows will driving what years from Tennessee cluster auto manufacturers suppliers well positioned figure future continue raise family incomes Read,0.2732,0.125,3,9,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
1,1445752891168346128,2021-10-06,READ my op-ed in the @Tennessean: Electric trucks or flying cars: Tennessee auto industry is well positioned https://t.co/AFw7m0J1py,READ Electric trucks flying cars Tennessee auto industry well positioned,0.2732,0.0,4,14,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
2,1444290697465630725,2021-10-02,"The shark tank competition Sen. @RoyBlunt and I worked to create with @NIHDirector Collins to produce hundreds of millions of new COVID tests worked -- and it's showing ‘no signs of slowing down anytime soon.’

https://t.co/INGu3ftROQ",shark tank competition worked create with Collins produce hundreds millions COVID tests worked showing signs slowing down anytime soon INGu ftROQ,-0.15555555555555559,0.2888888888888889,2,8,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
3,1443900479096885254,2021-10-01,"Tennessee is the auto state! 

https://t.co/MP5zypFLNc",Tennessee auto state zypFLNc,0.0,0.0,9,54,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
4,1443306588052328449,2021-09-29,"I can still see him up early in the morning and late at night putting up campaign signs in the snow. 

Honey and I send our condolences and respect for his life to his family.",still early morning late night putting campaign signs snow Honey send condolences respect life family,-0.09999999999999999,0.44999999999999996,1,6,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
5,1443306586265501697,2021-09-29,"Forrest Shoaf was a good friend, fine attorney and a patriot. We had fun together, especially in the New Hampshire presidential primary in 1996.",Forrest Shoaf good friend fine attorney patriot together especially Hampshire presidential primary,0.37916666666666665,0.65,4,15,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
6,1419986150928834563,2021-07-27,Honey and I will miss him greatly. We send our love and respect for his life to Diana and the Enzi family.,Honey will miss greatly send love respect life Diana Enzi family,0.65,0.675,5,33,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
7,1419986150035529731,2021-07-27,"Mike Enzi was a thoroughly decent, thoughtful and effective United States Senator and a great friend. He spent his days looking for ways to work across party lines to make our country better and usually succeeded. And in his spare time there was never a happier fisherman.",Mike Enzi thoroughly decent thoughtful effective United States Senator great friend spent days looking ways work across party lines make country better usually succeeded spare time there never happier fisherman,0.3023809523809523,0.5095238095238096,16,97,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
8,1415674603033174022,2021-07-15,"I had a great time welcoming the new park manager, Tim Pharis, to Lamar Alexander Rocky Fork State Park yesterday. #TNStateParks

It was a special treat to run into this young gentleman named Rocky. Together we make up the name of a truly beautiful place. https://t.co/9b8Es7dSr4",great time welcoming park manager Pharis Lamar Alexander Rocky Fork State Park yesterday #TNStateParks special treat into this young gentleman named Rocky Together make name truly beautiful place,0.5267857142857143,0.6803571428571429,1,24,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
9,1384162385879920644,2021-04-19,"He was a distinguished attorney and widely respected jurist. 

He was a very special friend. 

To the entire Wellford family Honey and I extend our sympathy and our great respect for Harry's life.",distinguished attorney widely respected jurist very special friend entire Wellford family Honey extend sympathy great respect Harry life,0.2910714285714286,0.6294642857142857,8,23,en,76649729,Lamar Alexander,SenAlexander,132204,532,"Maryville, TN",True
