index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1452064516062253060,2021-10-24,The Annual Brooklyn PTA Fun Run to help benefit Brooklyn’s public schools with @BradLander and @Bobby4Brooklyn! https://t.co/d1w7lzVTwG,Annual Brooklyn help benefit Brooklyn public schools with lzVTwG,0.6908,0.06666666666666667,37,214,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
1,1452061116838912002,2021-10-23,"I’m so honored to help celebrate the inauguration of @StonyBrookU’s 6th President, Dr. Maurie McInnis @SBUPrez! https://t.co/YbS9yLJDs2",honored help celebrate inauguration President Maurie McInnis yLJDs,0.8807,0.0,27,193,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
2,1451967211938136075,2021-10-23,"RT @stonybrooku: It’s a wonderful morning and a fantastic day to celebrate @SBUPrez 

-@SenSchumer https://t.co/uMprNQIniY",wonderful morning fantastic celebrate uMprNQIniY,0.7,0.95,17,0,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
3,1451941029008101377,2021-10-23,"We delivered funding to Save Our Stages to help so many theaters, and venues, and artists, and stagehands, and staff, and more.

That’s why I was proud to stand with @PhantomOpera and Andrew Lloyd Webber @OfficialALW. https://t.co/Cpa3eNx61F",delivered funding Save Stages help many theaters venues artists stagehands staff more That proud stand with Andrew Lloyd Webber,0.6,0.6666666666666666,79,366,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
4,1451708482105880577,2021-10-23,"I was glad to hear from @Bobby4Brooklyn and members of Assembly District 44 at a community roundtable in Brooklyn. We’re standing together to pass Build Back Better, update our crumbling infrastructure, create good-paying jobs, and fight climate change. https://t.co/5icmPhKHyq",glad hear from members Assembly District community roundtable Brooklyn standing together pass Build Back Better update crumbling infrastructure create good paying jobs fight climate change icmPhKHyq,0.425,0.525,66,354,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
5,1451668217915748355,2021-10-22,"I was honored to join Bishop Nelson, @67ClergyCouncil, &amp; more at the ribbon cutting today for Phase One of the Ebenezer Plaza. The affordable housing development will provide additional space for the Ebenezer Urban Ministry Center as well as over 500 units of affordable housing! https://t.co/6mDkvytQuc",honored join Bishop Nelson more ribbon cutting today Phase Ebenezer Plaza affordable housing development will provide additional space Ebenezer Urban Ministry Center well over units affordable housing mDkvytQuc,-0.049999999999999996,0.375,53,267,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
7,1451287836821491717,2021-10-21,"Latinas earn just 57 cents for every $1 earned by white men.

And it would take them until today to catch up to what white men made at the end of last year.

@SenateDems will continue working to secure paycheck fairness for Latinas and their families. #LatinaEqualPayDay",Latinas earn just cents every earned white would take them until today catch what white made last year will continue working secure paycheck fairness Latinas their families #LatinaEqualPayDay,0.1,0.16666666666666666,167,627,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
8,1451286798236372992,2021-10-21,"RT @civilrightsorg: NEW: @SenSchumer just moved forward on five more of @POTUS’s judicial nominees, including civil rights lawyer (and form…",just moved forward five more judicial nominees including civil rights lawyer form,0.5,0.5,492,0,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
9,1451270690653495299,2021-10-21,"We just held a critical vote to advance Myrna Pérez’s nomination to the 2nd Circuit and set up her confirmation vote for Monday

I championed her to @POTUS

She's an accomplished attorney, a voting rights and elections expert

And she’ll be the only Latina serving on this court",just held critical vote advance Myrna nomination Circuit confirmation vote Monday championed accomplished attorney voting rights elections expert only Latina serving this court,0.06666666666666667,0.7666666666666666,282,1489,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
10,1451226587064676359,2021-10-21,"The fight to protect our democracy is far from over in the United States Senate.

Voting Rights are too precious, too fundamental to abandon.

As soon as next week, I am prepared to bring another proposal to the floor: the John Lewis Voting Rights Advancement Act.",fight protect democracy from over United States Senate Voting Rights precious fundamental abandon soon next week prepared bring another proposal floor John Lewis Voting Rights Advancement,0.25,0.5,1575,6626,en,17494010,Chuck Schumer,SenSchumer,3311974,24369,"New York, NY",True
