index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1452047352424927236,2021-10-23,Seeing @GlennYoungkin dunk on Obama just might win the entire race…. https://t.co/XAHAxV1cZw,Seeing dunk Obama just might entire race XAHAxV,0.0,0.625,1226,7929,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
1,1451996786822942726,2021-10-23,"RT @ChuckCallesto: Ted Cruz joins the party.. 

#LetsGoBrandon https://t.co/UtClXkTqxD",Cruz joins party #LetsGoBrandon UtClXkTqxD,0.4019,0.0,487,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
2,1451953343363002369,2021-10-23,"This catastrophe is by design from Joe Biden. 

He made the promise of open borders in an effort to import millions of future Democrat voters. #BidenBorderCrisis https://t.co/psyYcHm3Z3",This catastrophe design from Biden made promise open borders effort import millions future Democrat voters #BidenBorderCrisis psyYcHm,-0.4767,0.3125,1387,4565,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
3,1451943809236021252,2021-10-23,"RT @mjean2: Senator Cruz... it was a pleasure seeing you in the Lincoln Dinner in Orlando. As usual, your speech was incredible! I would ha…",Senator Cruz pleasure seeing Lincoln Dinner Orlando usual your speech incredible would,0.325,0.575,67,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
4,1451943620827914240,2021-10-23,"I saw that @RealCandaceO had suggested invading Australia. I thought that was odd.

Then, I watched what she actually said. She literally says “I ask that in jest.”

It’s powerful, incisive commentary &amp; Lefty Twitter-verse LIES.

(Wait till they see what Jonathan Swift proposed.) https://t.co/LJNqcnENEj",that suggested invading Australia thought that Then watched what actually said literally says that jest powerful incisive commentary Lefty Twitter verse LIES Wait till they what Jonathan Swift proposed LJNqcnENEj,0.15,0.55,1169,5254,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
5,1451680801846931463,2021-10-22,"Poor @TexasMonthly claims “liberals in Martha’s Vineyard would be thrilled to have 2 million illegal aliens arrive there….”

But then they admit Dems would NEVER allow a vote on the bill.

Why would Dems oppose it?

Why does TX have to carry the burden from Biden’s lawlessness? https://t.co/lnZR2dNKeO",Poor claims liberals Martha Vineyard would thrilled have million illegal aliens arrive there then they admit Dems would NEVER allow vote bill would Dems oppose does have carry burden from Biden lawlessness lnZR dNKeO,-0.10000000000000002,0.6,351,1843,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
6,1451678513187131398,2021-10-22,"RT @Mediaite: 'Bolsheviks Who Are Destroying the Country': Ted Cruz GOES OFF on the Media, CNN in Wild Rant https://t.co/LKWwhIGYd4",Bolsheviks Destroying Country Cruz GOES Media Wild Rant LKWwhIGYd,-0.05,0.2,87,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
7,1451660244636033024,2021-10-22,"Democrats’ COVID decisions are all political.

They ignore natural immunity because it’s politically inconvenient.",Democrats COVID decisions political They ignore natural immunity because politically inconvenient,-0.16666666666666666,0.5,1714,11052,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
8,1451636656923103236,2021-10-22,"“Democracy” can only be preserved through authoritarian leftists issuing illegal degrees to govern every aspect of our lives.

If you’re not happy to submit to arbitrary diktats, you hate America.

Actual voters voting for low taxes &amp; individual liberty? That’s not democracy. https://t.co/ECjYG4Rzmk",Democracy only preserved through authoritarian leftists issuing illegal degrees govern every aspect lives happy submit arbitrary diktats hate America Actual voters voting taxes individual liberty That democracy ECjYG Rzmk,-0.08571428571428572,0.6428571428571429,115,785,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
9,1451635790073696262,2021-10-22,RT @SohrabAhmari: What this means is she’s worried about 2022 congressional.,What this means worried about congressional,-0.296,0.0,112,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
10,1451635566290915330,2021-10-22,"RT @omriceren: Sort of amazing, the things that do and don't get fact checked in real time by our firefighting journos.",Sort amazing things that fact checked real time firefighting journos,0.4,0.6000000000000001,117,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
11,1451635240557060097,2021-10-22,"RT @yaf: ""...I don’t have to make white kids feel bad for being white."" 

 @CondoleezzaRice rips Critical Race Theory ⬇️ https://t.co/Kd8IZ…",have make white kids feel being white rips Critical Race Theory,-0.3182,0.26666666666666666,234,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
12,1451635196361646086,2021-10-22,RT @benshapiro: They cancel. We uncancel.,They cancel uncancel,-0.25,0.0,2942,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
13,1451634757113155589,2021-10-22,"Amusing to see blue-state Dems sputtering with rage.

My favorite is “Rhode Island is not a border state!”

No s**t.

Then put your martini down &amp; stop voting to allow my state to be flooded with 2 million illegal immigrants. https://t.co/2hj20wC2uI",Amusing blue state Dems sputtering with rage favorite Rhode Island border state Then your martini down stop voting allow state flooded with million illegal immigrants,0.0888888888888889,0.5777777777777777,293,1840,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
14,1451632681243009032,2021-10-22,RT @theMRC: Sen. @tedcruz wants to send the flood of millions of illegal immigrants from Texas to Democrat-heavy communities and vacation s…,wants send flood millions illegal immigrants from Texas Democrat heavy communities vacation,-0.16666666666666666,0.3666666666666667,93,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
15,1451632681234669576,2021-10-22,"RT @FoxNews: Ted Cruz blasts Biden for not enforcing laws because of the ‘radical, open border’ left

https://t.co/Pq6SUtZazx",Cruz blasts Biden enforcing laws because radical open border left SUtZazx,0.0,0.25,92,0,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
16,1451619590488969219,2021-10-22,"Strong.

@realDailyWire https://t.co/lszyZQ5Acy",Strong lszyZQ,0.4333333333333333,0.7333333333333333,315,4080,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
18,1451609531323138049,2021-10-22,"Stunning. WATCH this:

“Freedom…I mean come on, freedom!”

Said dripping with dismissive contempt.

Dems love government power. And they think your freedom is a joke. https://t.co/BknMYWppXQ",Stunning WATCH this Freedom mean come freedom Said dripping with dismissive contempt Dems love government power they think your freedom joke BknMYWppXQ,0.22916666666666666,0.7625000000000001,928,3528,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
19,1451608091045384195,2021-10-22,Why did you leave them behind? https://t.co/A1nnhqGet5,leave them behind nnhqGet,-0.4,0.7,1150,5735,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
20,1451607077403729922,2021-10-22,"In what sane world would we be firing thousands of police officers?

Chicago police Union says they may lose 50 PERCENT of their officers over illegal vax mandates.

This is nuts. 

I stand with the cops. https://t.co/dPSqVz0GMK",what sane world would firing thousands police officers Chicago police Union says they lose PERCENT their officers over illegal mandates This nuts stand with cops dPSqVz,-0.5,0.5,398,2377,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
21,1451590468299628554,2021-10-22,Join me in supporting Christian: https://t.co/8ZrkOL7jIC,Join supporting Christian ZrkOL,0.125,0.125,48,366,en,23022687,Ted Cruz,tedcruz,4593210,5397,"Houston, Texas",True
